what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,17.0.0.v201203161636-291853,"com.android.ide.eclipse.ddms.views.LogCatView",1332663281724
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1332663289831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663302457
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663302480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663302484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663304722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663305463
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663307695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663310451
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663314130
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1332663319680
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1332663326455
closed,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1332663326456
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332663327214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663333048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663334278
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1332663334284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663337401
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663339616
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1332663339623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663362508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663366550
activated,view,com.android.ide.eclipse.ddms,17.0.0.v201203161636-291853,"com.android.ide.eclipse.ddms.views.LogCatView",1332663375125
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1332663376102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663376550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663378023
activated,view,com.android.ide.eclipse.ddms,17.0.0.v201203161636-291853,"com.android.ide.eclipse.ddms.views.LogCatView",1332663378734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663379886
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663386407
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332663394733
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1332663402740
activated,view,com.android.ide.eclipse.ddms,17.0.0.v201203161636-291853,"com.android.ide.eclipse.ddms.views.LogCatView",1332663402759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663404181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663407032
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332663412125
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332663414861
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332663415251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663416934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663424807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663424901
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663431169
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663431817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663432503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663432551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663433022
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663433041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663433170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663433230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332663433736
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332663436659
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332663440256
