what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332662472208
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662490459
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662498990
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662499953
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662504779
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662509384
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332662515414
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662541227
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1332662547293
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1332662547365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1332662622200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1332662624359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332662683438
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332662733561
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662756480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662756512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662756517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662757954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662758933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662816403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662818478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662819666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662835518
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662837819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662856206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662859534
