what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332656017100
java.specification.version,sysinfo,,,"1.6",1332656017100
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1332656017100
java.version,sysinfo,,,"1.6.0_30",1332656017100
java.vm.info,sysinfo,,,"mixed mode, sharing",1332656017100
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1332656017100
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332656017100
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332656017100
java.vm.specification.version,sysinfo,,,"1.0",1332656017100
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1332656017100
java.vm.version,sysinfo,,,"20.5-b03",1332656017100
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1332656033449
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1332656033449
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1332656033979
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1332656033995
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1332656034011
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1332656034026
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1332656034026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656034822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656055991
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1332656056007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656057567
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1332656059813
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1332656059813
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1332656059844
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1332656100195
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1332656100227
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1332656100242
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1332656100242
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1332656100305
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1332656100320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656111287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656112597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656113502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656116622
started,bundle,org.eclipse.help.base,3.5.3.v201102101200,"org.eclipse.help.base",1332656128276
started,bundle,org.eclipse.help.ui,3.5.3.r36_20101116,"org.eclipse.help.ui",1332656128790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656134750
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1332656134765
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656136512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656182236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656185949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1332656244100
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1332656245255
error,log,,,"Unable to read repository at http:/dl-ssl.google.com/android/eclipse/content.xml.",1332656246019
error,log,,,"Unable to read repository at http:/dl-ssl.google.com/android/eclipse/content.xml.",1332656247158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656266673
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1332656266689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656296313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656297390
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332656297905
