what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1332661398175
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332661399511
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332661403578
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332661407283
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332661436819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661438854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661470327
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661484653
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1332661509920
error,log,,,"Failed to load properties file for project 'Week3'",1332661510177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661511265
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1332661511967
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332661514230
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332661514295
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332661514296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661532492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661543510
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1332661543727
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1332661543729
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1332661544168
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1332661544964
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1332661544975
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1332661545077
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1332661545104
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1332661546080
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1332661546267
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661551042
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661551108
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332661559813
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332661573537
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1332661574010
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1332661574108
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332661574171
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661577830
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332661577830
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1332661600874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1332661601267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661612537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661615809
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661619417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661624858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661627455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661644403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661657541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661681742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661684710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661687526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661727273
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661730576
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661733292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661736833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1332661745311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661747832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661750625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661770238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661861287
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332661865531
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661868938
error,log,,,"Unhandled event loop exception",1332661869222
error,log,,,"Unhandled event loop exception",1332661880183
error,log,,,"Unhandled event loop exception",1332661880202
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332661893264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661899077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661903223
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661903516
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661903563
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661907470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661911497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661928869
error,log,,,"Unhandled event loop exception",1332661929089
error,log,,,"Unhandled event loop exception",1332661929105
error,log,,,"Unhandled event loop exception",1332661929121
error,log,,,"Unhandled event loop exception",1332661929136
error,log,,,"Unhandled event loop exception",1332661929150
error,log,,,"Unhandled event loop exception",1332661929158
error,log,,,"Unhandled event loop exception",1332661929169
error,log,,,"Unhandled event loop exception",1332661929196
error,log,,,"Unhandled event loop exception",1332661929217
error,log,,,"Unhandled event loop exception",1332661929237
error,log,,,"Unhandled event loop exception",1332661929259
error,log,,,"Unhandled event loop exception",1332661929266
error,log,,,"Unhandled event loop exception",1332661929274
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661931391
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661932101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332661934813
error,log,,,"Unhandled event loop exception",1332661934865
error,log,,,"Unhandled event loop exception",1332661934877
error,log,,,"Unhandled event loop exception",1332661934891
error,log,,,"Unhandled event loop exception",1332661934905
error,log,,,"Unhandled event loop exception",1332661934918
error,log,,,"Unhandled event loop exception",1332661934932
error,log,,,"Unhandled event loop exception",1332661934946
error,log,,,"Unhandled event loop exception",1332661934958
error,log,,,"Unhandled event loop exception",1332661934973
error,log,,,"Unhandled event loop exception",1332661934985
error,log,,,"Unhandled event loop exception",1332661934997
error,log,,,"Unhandled event loop exception",1332661935014
error,log,,,"Unhandled event loop exception",1332661935026
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332661935255
error,log,,,"Unhandled event loop exception",1332661935326
error,log,,,"Unhandled event loop exception",1332661935340
error,log,,,"Unhandled event loop exception",1332661935354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332661961170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661968252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661971354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332661977301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662010320
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662012134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332662014359
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662016240
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662019837
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662019852
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662020118
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662020160
error,log,,,"Error while loading editor",1332662026380
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662026406
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662026436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1332662040088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1332662040803
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1332662040856
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662041836
closed,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662041836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1332662043993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1332662044978
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662048535
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662050107
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1332662053823
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662087371
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662095084
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662095162
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662101483
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662102465
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662107507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1332662111145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662113705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662126636
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1332662126842
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662177643
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662178399
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662184842
closed,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662184847
closed,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662185856
closed,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1332662186528
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662187425
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662187425
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662188983
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662189034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662199414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1332662222218
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1332662224884
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662228784
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1332662228856
